File;Dependant (Out);Depends upon (In);Weight
mall-cloud-alibaba-master/mall-portal-member/member-common/src/main/java/com/mtcarpenter/mall/client/MemberFeign.java;com.mtcarpenter.mall.client.MemberFeign;com.mtcarpenter.mall.model.UmsMemberReceiveAddress, com.mtcarpenter.mall.model.UmsIntegrationConsumeSetting, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.model.UmsMemberReceiveAddress, com.mtcarpenter.mall.model.UmsIntegrationConsumeSetting, com.mtcarpenter.mall.common.api.CommonResult;2
mall-cloud-alibaba-master/mall-portal-coupon/coupon-common/src/main/java/com/mtcarpenter/mall/client/CouponFeign.java;com.mtcarpenter.mall.client.CouponFeign;com.mtcarpenter.mall.model.SmsFlashPromotionSession, com.mtcarpenter.mall.model.SmsFlashPromotion, com.mtcarpenter.mall.model.SmsCouponHistory, com.mtcarpenter.mall.model.SmsCoupon, com.mtcarpenter.mall.model.SmsHomeAdvertise, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.SmsCouponHistoryDetail, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.model.SmsFlashPromotionSession, com.mtcarpenter.mall.model.SmsFlashPromotion, com.mtcarpenter.mall.model.SmsCouponHistory, com.mtcarpenter.mall.model.SmsCoupon, com.mtcarpenter.mall.model.SmsHomeAdvertise, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.SmsCouponHistoryDetail, com.mtcarpenter.mall.domain.CartPromotionItem;2
mall-cloud-alibaba-master/mall-portal-content/content-common/src/main/java/com/mtcarpenter/mall/client/SubjectFeign.java;com.mtcarpenter.mall.client.SubjectFeign;com.mtcarpenter.mall.model.CmsSubject, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.model.CmsSubject, com.mtcarpenter.mall.common.api.CommonResult;1
mall-cloud-alibaba-master/mall-portal-product/product-common/src/main/java/com/mtcarpenter/mall/client/ProductFeign.java;com.mtcarpenter.mall.client.ProductFeign;com.mtcarpenter.mall.model.PmsProduct, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.CartProduct, com.mtcarpenter.mall.domain.PromotionProduct, com.mtcarpenter.mall.model.PmsProduct, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.CartProduct, com.mtcarpenter.mall.domain.PromotionProduct;1
mall-cloud-alibaba-master/mall-portal-order/order-common/src/main/java/com/mtcarpenter/mall/client/OrderFeign.java;com.mtcarpenter.mall.client.OrderFeign;com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.domain.CartPromotionItem;1
mall-cloud-alibaba-master/mall-admin-pms/pms-common/src/main/java/com/mtcarpenter/mall/client/PmsProductClient.java;com.mtcarpenter.mall.client.PmsProductClient;com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.common.PmsProductOutput, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.common.PmsProductOutput;1
.;com.mtcarpenter.mall.client;com.mtcarpenter.mall.model, com.mtcarpenter.mall.common.api, com.mtcarpenter.mall.common, com.mtcarpenter.mall.domain;9
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
